IDEPT,ISDEPT,ICLAS,ISCLAS,ISTORE,RANK,STORE,IMFGR,MFC,INUMBR,IDESCR,ISTYPE,iPhone,EOL,ICUCST,IBHAND,IBPOOQ,IBTOOQ,DC,AVAILABLE,Sugg,To Order,AVLST3WKSL,AVLST8WKSL,IBWKCR,IBWK01,IBWK02,IBWK03,IBWK04,IBWK05,IBWK06,IBWK07,IBWK08,IVNDP#,IRLSDT
7,74,740,103,120,B,Fredericton,620,Affinity,1396501,SM GALAXY S3 OTTER DEF BLACK,1,,,30.2,2,0,0,0,2,1,2,0.7,0.4,0,1,1,0,0,0,0,0,1,ORC5930BK,120703
7,74,740,103,124,B,Mountain,620,Affinity,1396501,SM GALAXY S3 OTTER DEF BLACK,1,,,30.2,0,0,0,0,0,1,2,0.3,0.3,1,0,0,1,0,0,1,0,0,ORC5930BK,120703
7,74,740,103,311,B,Aurora,620,Affinity,1396501,SM GALAXY S3 OTTER DEF BLACK,1,,,30.2,0,1,0,0,1,2,2,0.7,0.4,0,1,1,0,0,1,0,0,0,ORC5930BK,120703
7,74,740,103,313,A,South Common,620,Affinity,1396502,SM GALAXY S3 OTTER DEF PURPLE,1,,,30.2,1,0,0,0,1,2,2,0.7,0.3,-1,1,0,1,0,0,0,0,0,ORC5930BOOM,120703
7,74,740,103,315,A,Bristol,620,Affinity,1396501,SM GALAXY S3 OTTER DEF BLACK,1,,,30.2,0,0,0,0,0,3,3,0.7,0.5,1,1,1,0,0,0,1,0,1,ORC5930BK,120703
7,74,740,103,331,B,Danforth,620,Affinity,1396501,SM GALAXY S3 OTTER DEF BLACK,1,,,30.2,0,0,0,0,0,3,3,0.7,0.3,0,2,0,0,0,0,0,0,0,ORC5930BK,120703
7,74,740,103,348,A,Belsize ,620,Affinity,1396501,SM GALAXY S3 OTTER DEF BLACK,1,,,30.2,0,0,0,0,0,3,3,0.7,0.4,0,2,0,0,0,0,0,1,0,ORC5930BK,120703
7,74,740,103,354,B,Front,620,Affinity,1396501,SM GALAXY S3 OTTER DEF BLACK,1,,,30.2,0,0,0,0,0,1,2,0.3,0.1,0,0,0,1,0,0,0,0,0,ORC5930BK,120703
7,74,740,103,357,B,Ellesmere,620,Affinity,1396501,SM GALAXY S3 OTTER DEF BLACK,1,,,30.2,1,0,0,0,1,2,2,0.7,0.4,0,1,1,0,0,1,0,0,0,ORC5930BK,120703
7,74,740,103,363,A,Albion,620,Affinity,1396501,SM GALAXY S3 OTTER DEF BLACK,1,,,30.2,2,0,0,0,2,1,2,0.7,0.5,0,2,0,0,0,0,2,0,0,ORC5930BK,120703
7,74,740,103,368,A,Major Mac,620,Affinity,1396501,SM GALAXY S3 OTTER DEF BLACK,1,,,30.2,3,0,0,0,3,1,2,1.3,1,1,3,1,0,3,0,1,0,0,ORC5930BK,120703
7,74,740,103,372,B,Mount Joy,620,Affinity,1396501,SM GALAXY S3 OTTER DEF BLACK,1,,,30.2,0,0,0,0,0,1,2,0.3,0.1,0,1,0,0,0,0,0,0,0,ORC5930BK,120703
7,74,740,103,389,A,Carville,620,Affinity,1396501,SM GALAXY S3 OTTER DEF BLACK,1,,,30.2,0,0,0,0,0,3,3,1,0.6,0,2,0,1,0,1,0,1,0,ORC5930BK,120703
7,74,740,103,396,A,Westside,620,Affinity,1396501,SM GALAXY S3 OTTER DEF BLACK,1,,,30.2,1,2,0,0,3,1,2,1.3,0.8,0,1,2,1,-1,0,3,0,0,ORC5930BK,120703
7,74,740,103,397,A,Bayfield,620,Affinity,1396501,SM GALAXY S3 OTTER DEF BLACK,1,,,30.2,2,0,0,0,2,4,4,2,1.1,0,3,2,1,1,2,0,0,0,ORC5930BK,120703
7,74,740,103,397,A,Bayfield,620,Affinity,1396502,SM GALAXY S3 OTTER DEF PURPLE,1,,,30.2,0,0,0,0,0,3,3,0.7,0.3,0,2,0,0,0,0,0,0,0,ORC5930BOOM,120703
7,74,740,103,401,A,Bank,620,Affinity,1396501,SM GALAXY S3 OTTER DEF BLACK,1,,,30.2,2,2,0,0,4,2,2,1.7,1.3,2,3,0,2,0,1,1,3,0,ORC5930BK,120703
7,74,740,103,404,A,Orillia,620,Affinity,1372830,SM GALAXY S II OTTERBOX DEF GR,1,,,30.2,0,2,0,0,2,1,2,1,0.6,0,1,1,1,0,1,0,0,1,ORC5727GRBK,111121
7,74,740,103,410,A,Shoppers City,620,Affinity,1396501,SM GALAXY S3 OTTER DEF BLACK,1,,,30.2,1,0,0,0,1,2,2,0.7,0.3,0,1,1,0,0,0,0,0,0,ORC5930BK,120703
7,74,740,103,424,A,Midland,620,Affinity,1396501,SM GALAXY S3 OTTER DEF BLACK,1,,,30.2,0,0,0,0,0,4,4,1.3,0.6,0,3,1,0,0,1,0,0,0,ORC5930BK,120703
7,74,740,103,427,A,Tillsonburg,620,Affinity,1396502,SM GALAXY S3 OTTER DEF PURPLE,1,,,30.2,0,0,0,0,0,3,3,0.7,0.3,0,1,1,0,0,0,0,0,0,ORC5930BOOM,120703
