IDEPT,ISDEPT,ICLAS,ISCLAS,ISTORE,RANK,STORE,IMFGR,MFC,INUMBR,IDESCR,ISTYPE,iPhone,EOL,ICUCST,IBHAND,IBPOOQ,IBTOOQ,DC,AVAILABLE,Sugg,To Order,AVLST3WKSL,AVLST8WKSL,IBWKCR,IBWK01,IBWK02,IBWK03,IBWK04,IBWK05,IBWK06,IBWK07,IBWK08,IVNDP#,IRLSDT
7,74,742,104,475,B,South Cambridge,1000,Apple,1347014,IPHONE POWER ADPTR 30 PIN CBL,1,,,28.6,1,0,0,0,1,2,2,1,0.4,0,2,1,0,0,0,0,0,0,MB352LLB,81006
7,74,742,104,5276,TEST,Montreal Flagship,1000,Apple,1347014,IPHONE POWER ADPTR 30 PIN CBL,1,,,28.6,2,0,0,0,2,1,2,0.7,0.8,0,2,0,0,1,1,2,0,0,MB352LLB,81006
7,74,742,104,5417,TEST,Sudbury Centre,1000,Apple,1347014,IPHONE POWER ADPTR 30 PIN CBL,1,,,28.6,2,0,0,0,2,1,2,1,0.8,0,1,2,0,0,1,2,0,0,MB352LLB,81006
7,74,742,104,5617,A,Cross Iron Mills,1000,Apple,1347014,IPHONE POWER ADPTR 30 PIN CBL,1,,,28.6,1,0,0,0,1,2,2,0.7,0.4,0,1,1,0,0,0,1,0,0,MB352LLB,81006
7,74,742,104,5653,TEST,Londonderry Mall,1000,Apple,1347014,IPHONE POWER ADPTR 30 PIN CBL,1,,,28.6,2,0,0,0,2,1,2,1,0.4,0,2,1,0,0,0,0,0,0,MB352LLB,81006
7,74,742,104,5770,A-KIOSK,Mayfair Shopping Centre,1000,Apple,1347014,IPHONE POWER ADPTR 30 PIN CBL,1,,,28.6,0,0,0,0,0,1,2,0.3,0.1,1,0,0,1,0,0,0,0,0,MB352LLB,81006
7,74,740,105,321,A,Sheppard,680,Affinity,1347924,JABRA BT FREEWAY,1,,,80.3,0,0,0,2,0,1,1,0.3,0.1,0,1,0,0,0,0,0,0,0,1004600000020,110830
7,74,740,100,390,B,McLaughlin,100,Nokia,1347929,NK BT BH108,1,,,13.52,1,0,0,12,1,2,2,0.7,0.4,0,1,1,0,0,0,0,0,1,BH108,110830
7,74,740,100,422,A,Brantford,100,Nokia,1347929,NK BT BH108,1,,,13.52,2,0,0,12,2,1,2,0.7,0.3,0,2,0,0,0,0,0,-1,1,BH108,110830
7,74,740,100,5253,A,Les Galeries Terrebonne,100,Nokia,1347929,NK BT BH108,1,,,13.52,2,0,0,12,2,1,2,0.7,0.4,0,1,0,1,1,0,0,0,0,BH108,110830
7,74,740,100,5433,TEST,Yorkdale Shopping Centre #180,100,Nokia,1347929,NK BT BH108,1,,,13.52,2,0,0,12,2,1,2,0.7,0.5,0,1,0,1,0,0,0,2,0,BH108,110830
7,74,740,100,5611,TEST,Sunridge Mall,100,Nokia,1347929,NK BT BH108,1,,,13.52,2,0,0,12,2,1,2,0.7,0.6,0,1,1,0,0,1,0,2,0,BH108,110830
7,74,740,100,313,A,South Common,700,Microcel,1347934,SM BT HM1700,1,,,21.11,0,0,0,9,0,1,2,0.3,0.1,1,0,0,1,0,0,0,0,0,HM1700,110830
7,74,740,100,5262,B,Carrefour Beauport,700,Microcel,1347934,SM BT HM1700,1,,,21.11,0,0,0,9,0,3,3,1,0.4,0,2,0,1,0,0,0,0,0,HM1700,110830
7,74,740,100,5414,A,Oshawa Centre,700,Microcel,1347934,SM BT HM1700,1,,,21.11,1,0,0,9,1,2,2,0.7,0.3,0,1,0,1,0,0,0,0,0,HM1700,110830
7,74,740,100,5614,B,North Hill Centre,700,Microcel,1347934,SM BT HM1700,1,,,21.11,2,0,0,9,2,1,2,0.7,0.3,0,2,0,0,0,0,0,0,0,HM1700,110830
7,74,740,100,5652,A,Kingsway Garden,700,Microcel,1347934,SM BT HM1700,1,,,21.11,1,0,0,9,1,2,2,0.7,0.3,0,1,0,1,0,0,0,0,0,HM1700,110830
7,74,740,101,422,A,Brantford,100,Nokia,1355037,NK CLA (DC4),1,,,4.28,1,0,0,15,1,2,2,0.7,0.3,0,2,0,0,0,0,0,0,0,DC4,60224
7,74,740,101,5404,TEST,Cambridge Centre,100,Nokia,1355037,NK CLA (DC4),1,,,4.28,0,0,0,15,0,1,2,0.3,0.1,0,1,0,0,0,0,0,0,0,DC4,60224
7,74,742,104,368,A,Major Mac,1020,Cesium,1366691,IPHONE IPAD POWERBLOCK 30 PIN,1,,,16.94,1,0,0,6,1,2,2,0.7,0.4,0,2,0,0,0,0,1,0,0,NA23094,101019
7,74,742,104,397,A,Bayfield,1020,Cesium,1366691,IPHONE IPAD POWERBLOCK 30 PIN,1,,,16.94,2,0,0,6,2,1,2,0.7,0.6,1,2,0,0,0,2,1,0,0,NA23094,101019
7,74,742,104,5260,A,Centre Valleyfield,1020,Cesium,1366691,IPHONE IPAD POWERBLOCK 30 PIN,1,,,16.94,2,0,0,6,2,1,2,0.7,0.4,0,1,1,0,0,0,1,0,0,NA23094,101019
7,74,742,104,5377,A,Big Bay,1020,Cesium,1366691,IPHONE IPAD POWERBLOCK 30 PIN,1,,,16.94,-1,2,0,6,1,2,2,1,0.4,0,2,0,1,0,0,0,0,0,NA23094,101019
7,74,742,104,5408,B,Centre Mall,1020,Cesium,1366691,IPHONE IPAD POWERBLOCK 30 PIN,1,,,16.94,1,0,0,6,1,2,2,0.7,0.6,0,1,1,0,0,1,0,1,1,NA23094,101019
7,74,742,104,5413,A,Oakville Place,1020,Cesium,1366691,IPHONE IPAD POWERBLOCK 30 PIN,1,,,16.94,0,0,0,6,0,3,3,0.7,0.4,0,2,0,0,0,0,0,0,1,NA23094,101019
7,74,742,104,5655,TEST,Sherwood Park Mall,1020,Cesium,1366691,IPHONE IPAD POWERBLOCK 30 PIN,1,,,16.94,1,0,0,6,1,5,5,1.7,0.6,0,2,2,1,0,0,0,0,0,NA23094,101019
7,74,742,103,313,A,South Common,1022,Cesium,1366842,IPHONE 4 ISKIN SOLO BLACK,1,iphone 4,,13.98,2,0,0,10,2,1,2,1.3,1.3,0,3,1,0,1,1,1,0,3,SOLO4GBK,101020
7,74,742,103,363,A,Albion,1022,Cesium,1366842,IPHONE 4 ISKIN SOLO BLACK,1,iphone 4,,13.98,0,0,0,10,0,3,3,1.3,0.8,1,3,0,1,0,2,0,0,0,SOLO4GBK,101020
7,74,742,103,386,TEST,York Mills,1022,Cesium,1366842,IPHONE 4 ISKIN SOLO BLACK,1,iphone 4,,13.98,2,3,0,10,5,1,2,3,2.1,0,3,0,6,1,0,5,2,0,SOLO4GBK,101020
7,74,742,103,469,A,Woodroffe ,1022,Cesium,1366842,IPHONE 4 ISKIN SOLO BLACK,1,iphone 4,,13.98,2,2,0,10,4,2,2,3,1.5,0,3,1,5,1,1,1,0,0,SOLO4GBK,101020
7,74,742,103,5273,A,Carrefour Richelieu,1022,Cesium,1366842,IPHONE 4 ISKIN SOLO BLACK,1,iphone 4,,13.98,2,0,0,10,2,1,2,1.3,0.8,1,1,1,2,0,0,0,0,2,SOLO4GBK,101020
7,74,742,103,5376,B,Roxborough,1022,Cesium,1366842,IPHONE 4 ISKIN SOLO BLACK,1,iphone 4,,13.98,1,0,0,10,1,3,3,2,1.4,0,5,0,1,0,0,3,1,1,SOLO4GBK,101020
7,74,742,103,5438,A,Royal Bank Plaza,1022,Cesium,1366842,IPHONE 4 ISKIN SOLO BLACK,1,iphone 4,,13.98,0,0,0,10,0,2,2,1,0.6,0,2,1,0,0,1,0,0,1,SOLO4GBK,101020
7,74,742,103,367,B,Abbey,1022,Cesium,1366872,IPHONE 4 ISKIN SOLO BLUE,1,iphone 4,,14.84,1,0,0,10,1,1,2,0.7,0.5,0,1,0,1,0,1,0,0,1,SOLO4GBE,101020
7,74,742,103,428,A,Collingwood,1022,Cesium,1366872,IPHONE 4 ISKIN SOLO BLUE,1,iphone 4,,14.84,0,2,0,10,2,1,2,1.3,0.8,0,2,1,1,0,0,0,1,1,SOLO4GBE,101020
7,74,742,103,433,B,Willow,1022,Cesium,1366872,IPHONE 4 ISKIN SOLO BLUE,1,iphone 4,,14.84,0,0,0,10,0,2,2,0.7,0.4,0,1,0,1,0,0,1,0,0,SOLO4GBE,101020
7,74,742,103,479,A,Highland Hills,1022,Cesium,1366872,IPHONE 4 ISKIN SOLO BLUE,1,iphone 4,,14.84,0,0,0,10,0,1,2,0.3,0.3,1,0,1,0,0,1,0,0,0,SOLO4GBE,101020
7,74,742,103,626,B,McKnight,1022,Cesium,1366872,IPHONE 4 ISKIN SOLO BLUE,1,iphone 4,,14.84,1,0,0,10,1,1,2,0.7,0.4,0,1,0,1,0,1,0,0,0,SOLO4GBE,101020
7,74,742,103,5374,B,Terry Fox,1022,Cesium,1366872,IPHONE 4 ISKIN SOLO BLUE,1,iphone 4,,14.84,0,0,0,10,0,2,2,0.7,0.5,1,2,0,0,0,0,0,0,2,SOLO4GBE,101020
7,74,742,103,5401,A,Georgian Mall,1022,Cesium,1366872,IPHONE 4 ISKIN SOLO BLUE,1,iphone 4,,14.84,0,4,0,10,4,1,2,2.3,1.3,0,2,2,3,1,0,0,2,0,SOLO4GBE,101020
7,74,742,103,5417,TEST,Sudbury Centre,1022,Cesium,1366872,IPHONE 4 ISKIN SOLO BLUE,1,iphone 4,,14.84,0,2,0,10,2,1,2,1.3,1.5,0,2,1,1,1,1,2,2,2,SOLO4GBE,101020
7,74,742,103,5617,A,Cross Iron Mills,1022,Cesium,1366872,IPHONE 4 ISKIN SOLO BLUE,1,iphone 4,,14.84,0,0,0,10,0,3,3,1.3,0.8,2,3,1,0,0,2,0,0,0,SOLO4GBE,101020
