A0138556380                         48532   01/13/05   10000   1000001/13/05ALTO DAIRY                    
A0138556380                         50041   03/07/05   14000   1400003/08/05ALTO DAIRY                    
A0138557898                         50041   03/07/05   16000   1600003/08/05ALTO DAIRY                    
A0138556380                         51816   05/09/05   10000   1000005/12/05ALTO DAIRY                    
A0138556380                         52203   05/23/05   10000   1000005/24/05ALTO DAIRY                    
A0138556324                         52522   06/06/05   16000   1600006/07/05ALTO DAIRY                    
A0138556380                         52892   06/20/05   11000   1100006/21/05ALTO DAIRY                    
A0138556076                         53959   09/19/05    5000    500009/26/05ALTO DAIRY                    
A0138556077                         53959   09/19/05    5000    500009/26/05ALTO DAIRY                    
A0138556380                         54672   08/29/05   15000   1500008/30/05ALTO DAIRY                    
A0138556380                         55614   10/03/05   15000   1500010/04/05ALTO DAIRY                    
A0138556324                         56932   12/22/05   20000   2200001/05/06ALTO DAIRY                    
A0138557898                         56932   12/22/05   20000   2000001/05/06ALTO DAIRY                    
A0138556380                         57349   12/12/05   20000   2000012/14/05ALTO DAIRY                    
A0138556076                         58803   02/13/06   10000   1000002/27/06ALTO DAIRY                    
A0138556077                         58803   02/13/06   10000   1000002/27/06ALTO DAIRY                    
A0138556380                         59105   02/27/06   20000   2000002/27/06ALTO DAIRY                    
A0138556380                         60599   05/02/06   10000   1000005/02/06ALTO DAIRY                    
A0138556380                         61007   05/17/06   10000   1000005/18/06ALTO DAIRY                    
A0138556380                         61159   05/23/06   30000       106/09/06ALTO DAIRY                    
A0138556380                         61820   06/20/06   10000   1000006/21/06ALTO DAIRY                    
A0138556380                         63048   08/14/06   20000   2000008/15/06ALTO DAIRY                    
A0138560960                         64444   10/17/06    5000    500010/25/06ALTO DAIRY                    
A0138556380                         64885   10/31/06   30000       111/09/06ALTO DAIRY                    
A0138556380                         67278   02/20/07   32000   3200002/22/07ALTO DAIRY                    
A0138557246     105540              48759   01/21/05   20000   2000001/24/05ALTO DAIRY                    
A0138557246     105540              50381   03/18/05   20000   2000003/18/05ALTO DAIRY                    
A0138557246     105540              51154   04/13/05       1       104/27/05ALTO DAIRY                    
A0138557246     105540              51507   04/27/05   10000   1000004/28/05ALTO DAIRY                    
A0138557246     105540              52522   06/06/05   20000   2000006/07/05ALTO DAIRY                    
A0138557246     105540              53426   07/11/05   10000   1000007/12/05ALTO DAIRY                    
A0138557246     105540              53938   08/01/05   22000   2200008/02/05ALTO DAIRY                    
A0138557246     105540              55416   09/26/05   20000   2000009/30/05ALTO DAIRY                    
A0138557246     105540              57059   11/30/05   20000   2000012/01/05ALTO DAIRY                    
A0138557246     105540              57524   12/19/05   19500   1950012/20/05ALTO DAIRY                    
A0138557246     105540              58779   02/13/06   20000   2000002/14/06ALTO DAIRY                    
A0138557246     105540              60254   04/17/06   20000   2000004/18/06ALTO DAIRY                    
A0138557246     105540              60770   05/09/06   14000   1400005/10/06ALTO DAIRY                    
A0138557246     105540              62249   07/10/06   10000   1000007/11/06ALTO DAIRY                    
A0138557246     105540              63050   08/14/06   30000   3000008/15/06ALTO DAIRY                    
A0138557246     105540              63387   08/28/06   40000       109/08/06ALTO DAIRY                    
A0138557246     105540              64063   09/25/06   10000   1000009/26/06ALTO DAIRY                    
A0138557246     105540              64561   10/17/06   10000   1000010/17/06ALTO DAIRY                    
A0138557246     105540              65453   11/28/06   20000   2000011/29/06ALTO DAIRY                    
A0138557246     105540              65624   12/05/06   40000       112/11/06ALTO DAIRY                    
A0138557246     105540              66159   01/02/07   20000   2000001/03/07ALTO DAIRY                    
A0138557246     105540              66989   02/06/07   20000   2000002/07/07ALTO DAIRY                    
A0138557246     105540              67281   02/20/07   40000       103/01/07ALTO DAIRY                    
A0138557246     105540              68622   04/23/07   20000   2000004/24/07ALTO DAIRY                    
A0138557246     105540              69394   05/23/07   20000   2000005/23/07ALTO DAIRY                    
A0138557246     105540              69566   05/30/07   50000       106/15/07ALTO DAIRY                    
A0138557246     105540              70422   07/05/07    5000    500007/06/07ALTO DAIRY                    
A0138557246     105540              70948   07/30/07   15000   1500008/01/07ALTO DAIRY                    
A0138557246     105540              71573   08/24/07    5000    500009/04/07ALTO DAIRY                    
A0138557246     105540              71710   08/31/07   25000   2500008/31/07ALTO DAIRY                    
A0138557246     105540              71749   09/04/07   20000       109/14/07ALTO DAIRY                    
A0138557246     105540              73445   11/19/07   20000   2000011/20/07ALTO DAIRY                    
A0138557246     105540              73461   11/20/07   50000       112/10/07ALTO DAIRY                    
A0138557246     105540              73960   12/18/07   50000   5000012/19/07ALTO DAIRY                    
A0138557739     106540              48966   01/31/05   20000   2000002/01/05ALTO DAIRY                    
A0138557739     106540              50041   03/07/05   20000   2000003/08/05ALTO DAIRY                    
A0138557739     106540              50381   03/18/05   20000   2000003/18/05ALTO DAIRY                    
A0138557739     106540              51154   04/13/05       1       104/27/05ALTO DAIRY                    
A0138557739     106540              51507   04/27/05   30000   3000004/28/05ALTO DAIRY                    
A0138557739     106540              52203   05/23/05   40000   4000005/24/05ALTO DAIRY                    
A0138557739     106540              53426   07/11/05   20000   2000007/12/05ALTO DAIRY                    
A0138557739     106540              53938   08/01/05   24000   2400008/02/05ALTO DAIRY                    
A0138557739     106540              54671   08/29/05   20000   2000008/30/05ALTO DAIRY                    
A0138557739     106540              55416   09/26/05   30000   3000009/30/05ALTO DAIRY                    
A0138557739     106540              56380   11/02/05   20000   2000011/03/05ALTO DAIRY                    
A0138557739     106540              56673   11/14/05   30000   3000011/16/05ALTO DAIRY                    
A0138557739     106540              57524   12/19/05   10000   1000012/20/05ALTO DAIRY                    
A0138557739     106540              57949   01/10/06   20000   2000001/12/06ALTO DAIRY                    
A0138557739     106540              58778   02/13/06   20000   2000002/14/06ALTO DAIRY                    
A0138557739     106540              59967   04/03/06   25000   2500004/04/06ALTO DAIRY                    
A0138557739     106540              60599   05/02/06   10000   1000005/02/06ALTO DAIRY                    
A0138557739     106540              60769   05/09/06   15000   1500005/10/06ALTO DAIRY                    
