SKU	ProductID	ProductName	ProductDesc	Keywords	Categories	Retail Price	Your Price	Size	Color	Weight	Inventory	Attribute1
33015	PAAAAAHLKMGFAPBO	$1,000 Gift Card				$1,000.00 	$1,000.00 				100	
33016	PAAAAAOEDBGGAPBO	$1,500 Gift Card				$1,500.00 	$1,500.00 				100	
33001	PAAAAALDJFEFAPBO	$10 Gift Card				$10.00 	$10.00 				100	
33007	PAAAAAPLEOEJAPBO	$100 Gift Card				$100.00 	$100.00 				100	
33008	PAAAIAEFCGGBAPBO	$125 Gift Card				$125.00 	$125.00 				100	
33002	PAAAAAAMEGEGAPBO	$15 Gift Card				$15.00 	$15.00 				100	
33009	PAAAAAOJODGBAPBO	$150 Gift Card				$150.00 	$150.00 				100	
33010	PAAAAAFPGKGCAPBO	$175 Gift Card				$175.00 	$175.00 				100	
33017	PAAAIAAOKDGGAPBO	$2,000 Gift Card				$2,000.00 	$2,000.00 				100	
33018	PAAAAAMGANGHAPBO	$2,500 Gift Card				$2,500.00 	$2,500.00 				100	
33003	PAAAIAABBHEHAPBO	$20 Gift Card				$20.00 	$20.00 				100	
33011	PAAAAALEOHGCAPBO	$200 Gift Card				$200.00 	$200.00 				100	
33012	PAAAAABEFOGDAPBO	$250 Gift Card				$250.00 	$250.00 				100	
33000	PAAAIAIGCDEEAPBO	$5 Gift Card				$5.00 	$5.00 				100	
33005	PAAAIAABANEIAPBO	$50 Gift Card				$50.00 	$50.00 				100	
33013	PAAAAAIILPGEAPBO	$500 Gift Card				$500.00 	$500.00 				100	
33006	PAAAAAHIMEEIAPBO	$75 Gift Card				$75.00 	$75.00 				100	
33014	PAAAIAPGDEGFAPBO	$750 Gift Card				$750.00 	$750.00 				100	
4826	PAAAAAPIGLNJEPAI	1/2 Felt Pad				$28.49 	$25.64 	30x30	black		1	
4827	PAAAAAPIGLNJEPAI	1/2 Felt Pad				$30.49 	$27.44 	32x32	black		0	
16565	PAAAIAAOOKDDONAL	101 Arena Exercises				$29.95 	$26.96 		book		0	
16564	PAAAAAGIGODBONAL	101 Horsemanship & Equitation Patterns				$29.95 	$26.96 		book		1	
22747	PAAAIAOAAKHCBGBA	101 Uses for A Dog				$14.95 	$13.46 		book		0	
22748	PAAAAALFDGHEBGBA	101 Uses For a Horse				$12.95 	$11.66 		book		-4	
6681	PAAAAAFHNDOEJCAI	14 mm 3 Piece Snaffle				$27.99 	$25.19 	5"	rngsnaff		0	
13679	PAAAIABALMNFDIAK	18 QT Rubber Flat Back Bucket				$12.99 	$11.69 	18qt	bucket		9	
2828	PAAAAAKCBNGEAHAI	2 Step Mounting Block			Cat1, cat2	$39.99 	$35.99 	2 step	green		1	
2829	PAAAAAKCBNGEAHAI	2 Step Mounting Block				$39.99 	$35.99 	2 step	navy		1	
2821	PAAAAAKCBNGEAHAI	2 Step Mounting Block				$46.95 	$42.26 	2 step	blue		0	
2827	PAAAAAKCBNGEAHAI	2 Step Mounting Block				$46.95 	$42.26 	2 step	black		1	
22293	PAAAAAKCBNGEAHAI	2 Step Mounting Block				$46.95 	$42.26 	2 step	purple		1	
13693	PAAAAAJLBCCJDJAK	20 QT Flat Back Bucket				$8.99 	$8.09 	20qt	blue		-23	
13694	PAAAAAJLBCCJDJAK	20 QT Flat Back Bucket				$8.99 	$8.09 	20qt	green		18	
13695	PAAAAAJLBCCJDJAK	20 QT Flat Back Bucket				$8.99 	$8.09 	20qt	hotpink		-4	
13696	PAAAAAJLBCCJDJAK	20 QT Flat Back Bucket				$8.99 	$8.09 	20qt	huntgrn		12	
13697	PAAAAAJLBCCJDJAK	20 QT Flat Back Bucket				$8.99 	$8.09 	20qt	red		3	
13698	PAAAAAJLBCCJDJAK	20 QT Flat Back Bucket				$8.99 	$8.09 	20qt	sapphire		19	
13699	PAAAAAJLBCCJDJAK	20 QT Flat Back Bucket				$8.99 	$8.09 	20qt	teal		3	
13700	PAAAAAJLBCCJDJAK	20 QT Flat Back Bucket				$8.99 	$8.09 	20qt	yellow		-1	
13701	PAAAAAJLBCCJDJAK	20 QT Flat Back Bucket				$8.99 	$8.09 	20qt	black		-58	
