"PhoneCompatibilityID","AccessoryID","PhoneID"
53,23,77
54,23,78
56,25,93
58,26,96
60,27,61
66,30,58
68,30,62
69,31,84
74,34,41
76,35,54
82,38,41
84,39,84
86,41,73
90,44,76
219,82,60
220,82,61
221,82,58
223,82,62
224,82,110
225,82,48
226,82,59
250,85,60
251,85,109
253,85,61
254,85,58
256,85,62
257,85,110
258,85,48
267,86,60
268,86,109
270,86,61
271,86,58
273,86,62
274,86,110
275,86,48
282,87,50
284,88,53
285,88,45
286,88,54
290,88,50
291,88,51
296,90,53
297,90,45
298,90,54
302,90,60
303,90,61
304,90,51
333,58,6
334,58,58
336,58,62
339,58,66
340,58,26
353,56,45
354,56,54
443,97,2
444,97,49
445,97,66
447,97,71
448,97,69
450,97,75
451,97,76
454,97,73
456,97,12
457,97,106
464,97,108
468,97,37
472,98,6
473,98,7
474,98,4
475,98,16
476,98,15
482,98,76
483,98,78
484,98,88
487,98,73
491,98,12
492,98,84
532,100,4
533,100,60
534,100,61
535,100,62
539,100,49
540,100,50
541,100,66
542,100,51
547,100,76
548,100,78
549,100,100
550,100,79
551,100,80
552,100,81
553,100,19
554,100,59
555,100,3
556,100,20
557,100,116
558,100,92
560,100,21
561,100,22
562,100,23
563,100,73
565,100,104
568,100,12
569,100,84
571,100,106
578,100,108
582,100,37
586,100,41
588,100,43
590,100,93
592,100,95
593,100,96
595,100,98
596,100,117
597,101,4
598,101,60
599,101,61
600,101,62
601,101,48
603,101,2
604,101,49
605,101,50
606,101,66
607,101,51
609,101,71
611,101,75
612,101,76
613,101,78
614,101,100
615,101,79
616,101,80
617,101,81
618,101,19
619,101,59
620,101,3
621,101,20
622,101,116
623,101,92
625,101,21
626,101,22
627,101,23
628,101,73
630,101,104
633,101,12
634,101,84
636,101,106
643,101,108
647,101,37
651,101,41
653,101,43
655,101,93
657,101,95
658,101,96
660,101,98
661,101,117
664,97,118
665,103,4
666,103,60
667,103,61
668,103,62
669,103,110
670,103,48
671,103,118
673,103,2
674,103,49
675,103,50
676,103,66
677,103,51
679,103,71
681,103,75
682,103,76
683,103,78
684,103,100
685,103,112
686,103,79
687,103,80
688,103,81
689,103,19
690,103,59
691,103,3
692,103,20
693,103,116
694,103,92
696,103,21
697,103,22
698,103,23
699,103,73
701,103,104
703,103,12
704,103,84
706,103,106
713,103,108
717,103,37
721,103,41
723,103,43
725,103,93
