"PhoneID","Model","ManufacturerID","Active"
2,"6515",5,FALSE
3,"HP6955",5,TRUE
4,"240",7,TRUE
6,"1400",7,TRUE
7,"1500",7,TRUE
9,"FIREFLY",3,TRUE
12,"SMT5600",1,TRUE
15,"500",7,TRUE
16,"4015",7,TRUE
17,"9100",22,TRUE
19,"E1",9,TRUE
20,"K1KRZR",9,TRUE
21,"L2",9,TRUE
22,"L6",9,TRUE
23,"L7",9,TRUE
24,"V186",9,TRUE
26,"V190",9,TRUE
37,"V361",9,TRUE
41,"V551",9,TRUE
43,"V635",9,TRUE
45,"3120",10,TRUE
46,"6010",10,FALSE
48,"6133",10,FALSE
49,"6620",10,TRUE
50,"6682",10,TRUE
51,"6820",10,TRUE
53,"2610",10,TRUE
54,"3220i",10,TRUE
58,"6101",10,TRUE
59,"E62",10,TRUE
60,"5300",10,TRUE
61,"6085",10,TRUE
62,"6103",10,TRUE
66,"680",11,TRUE
67,"C3",28,TRUE
69,"7280",22,FALSE
71,"7130G",22,FALSE
73,"Pearl 8100",22,TRUE
75,"7290",22,FALSE
76,"8700",22,TRUE
77,"C327",13,TRUE
78,"C417",13,TRUE
79,"D606",13,TRUE
80,"D807R",13,TRUE
81,"D807X",13,TRUE
84,"T609",13,TRUE
85,"X426",13,FALSE
86,"X507",13,FALSE
88,"C61",13,TRUE
89,"AC860",15,TRUE
90,"GC89",16,TRUE
91,"J300",16,TRUE
92,"K790",16,TRUE
93,"W300i",16,TRUE
95,"W600i",16,TRUE
96,"W810i",16,TRUE
98,"Z520a",16,TRUE
99,"9200",7,TRUE
100,"Chocolate TG800",7,TRUE
101,"C261",9,TRUE
104,"Pebl U6",9,TRUE
105,"V235",9,TRUE
106,"V3",9,TRUE
108,"V360",9,TRUE
109,"6061",10,FALSE
110,"6126",10,FALSE
112,"D407F",13,TRUE
115,"Aircard860",15,TRUE
116,"K510a",16,TRUE
117,"Z710i",16,TRUE
118,"650",11,TRUE
119,"A706",13,TRUE
120,"S621",19,TRUE
121,"8800",22,TRUE
123,"8801",10,TRUE
124,"Tytn",19,TRUE
125,"6300",10,TRUE
126,"A436",13,TRUE
127,"A516",13,TRUE
128,"W200i",16,TRUE
129,"W580i",16,TRUE
130,"V9",9,TRUE
131,"Q9",9,TRUE
132,"Touch",19,TRUE
133,"750",11,TRUE
134,"TU720 Shine",7,TRUE
135,"TU515",7,TRUE
136,"TyTnII",19,TRUE
137,"W370",9,TRUE
138,"A736",13,TRUE
139,"i616",13,TRUE
140,"E747",13,TRUE
142,"8120",22,FALSE
143,"K850i",16,TRUE
144,"6555",10,TRUE
145,"5310",10,FALSE
146,"3555",10,TRUE
148,"N95",10,TRUE
149,"TU915",7,TRUE
150,"A746",13,TRUE
151,"E8",9,TRUE
153,"Z 750",16,TRUE
154,"Z6",9,TRUE
155,"U9",9,TRUE
156,"W380",16,TRUE
157,"8310",22,TRUE
158,"8820",22,TRUE
159,"W760a",16,TRUE
160,"Z780i",16,TRUE
161,"Centro",11,TRUE
162,"iPhone",53,TRUE
163,"J706",13,TRUE
164,"A226",13,TRUE
166,"9000 Bold",22,TRUE
168,"W350i",16,TRUE
169,"Shift",19,TRUE
171,"Z310",16,TRUE
172,"W510",9,TRUE
173,"5200",10,TRUE
174,"6070",10,TRUE
175,"TU500",7,TRUE
176,"6301",10,TRUE
177,"3500",10,TRUE
178,"K300",16,TRUE
180,"6030",10,FALSE
182,"VA76R",9,TRUE
183,"6086",10,TRUE
184,"2760",10,TRUE
185,"2680",10,TRUE
186,"F406",13,TRUE
187,"8320",22,TRUE
188,"8900",22,TRUE
189,"N810",10,TRUE
190,"A836",13,TRUE
192,"HTC Touch Diamond",19,TRUE
193,"E71",10,TRUE
195,"T456",13,TRUE
196,"A766",13,TRUE
201,"F266",13,FALSE
202,"TU750",7,TRUE
203,"7510",10,TRUE
204,"TU330",7,TRUE
205,"TE365",7,TRUE
206,"W233",9,TRUE
207,"W303",16,TRUE
208,"V9x",9,TRUE
209,"X1",16,TRUE
210,"S366",13,TRUE
211,"C905",16,TRUE
212,"G1",19,FALSE
213,"Magic",19,TRUE
214,"Dream",19,TRUE
215,"1661",10,TRUE
216,"5800",10,TRUE
217,"GR500R",7,TRUE
218,"8520",22,TRUE
